timestamp,electricity_price,ambient_temperature,solar_radiation
2022-12-14 09:30:00,0.566595,-1.346666666666667,26.144410133333327
2022-12-14 09:45:00,0.5673025,-1.346666666666667,32.33337386666667
2022-12-14 10:00:00,0.56801,-1.3133333333333332,42.09620266666666
2022-12-14 10:15:00,0.557525,-1.2199999999999998,57.96534333333332
2022-12-14 10:30:00,0.54704,-1.2266666666666666,53.22774266666668
2022-12-14 10:45:00,0.536555,-1.2466666666666668,66.40243533333334
2022-12-14 11:00:00,0.52607,-1.3000000000000005,79.62671933333334
2022-12-14 11:15:00,0.5234225,-1.346666666666667,55.27420133333333
2022-12-14 11:30:00,0.520775,-1.3266666666666669,85.05859333333335
2022-12-14 11:45:00,0.5181275000000001,-1.2866666666666666,79.57051599999998
2022-12-14 12:00:00,0.51548,-1.2800000000000002,73.080698
2022-12-14 12:15:00,0.5153475000000001,-1.346666666666667,76.88268066666666
2022-12-14 12:30:00,0.515215,-1.2199999999999998,35.48406
2022-12-14 12:45:00,0.5150825,-1.36,50.48700999999999
2022-12-14 13:00:00,0.51495,-1.2,58.315786
2022-12-14 13:15:00,0.5183450000000001,-1.0066666666666668,68.27367333333333
2022-12-14 13:30:00,0.52174,-0.9066666666666668,62.78889866666667
2022-12-14 13:45:00,0.5251349999999999,-0.7133333333333332,35.305532
2022-12-14 14:00:00,0.5285299999999999,-0.5333333333333333,20.629883066666665
2022-12-14 14:15:00,0.5326474999999999,-0.5733333333333331,22.5672414
2022-12-14 14:30:00,0.5367649999999999,-0.6066666666666666,14.245859666666666
2022-12-14 14:45:00,0.5408825,-0.6733333333333333,9.921518433333334
2022-12-14 15:00:00,0.545,-0.9133333333333332,14.176432495333334
2022-12-14 15:15:00,0.55625,-1.1999999999999995,11.3563533
2022-12-14 15:30:00,0.5675,-1.04,2.60849008
2022-12-14 15:45:00,0.57875,-0.9466666666666668,3.2862345066666663
2022-12-14 16:00:00,0.59,-1.1666666666666663,0.1851400666666667
2022-12-14 16:15:00,0.58175,-1.2133333333333334,0.0
2022-12-14 16:30:00,0.5735,-1.0599999999999998,1.444752906666667
2022-12-14 16:45:00,0.56525,-1.2600000000000002,0.0
2022-12-14 17:00:00,0.557,-1.3733333333333335,0.0
2022-12-14 17:15:00,0.5478925000000001,-1.34,0.0
2022-12-14 17:30:00,0.5387850000000001,-1.4266666666666667,3.226725366666666
2022-12-14 17:45:00,0.5296775,-1.48,0.2710975866666664
2022-12-14 18:00:00,0.5205700000000001,-1.5200000000000002,2.1390278200000004
2022-12-14 18:15:00,0.5124025000000001,-1.6066666666666671,0.0
2022-12-14 18:30:00,0.504235,-1.6799999999999995,0.0
2022-12-14 18:45:00,0.4960675,-1.6400000000000003,3.7457786400000006
2022-12-14 19:00:00,0.4879,-1.586666666666667,0.0
2022-12-14 19:15:00,0.4650925,-1.606666666666667,0.0
2022-12-14 19:30:00,0.442285,-1.7199999999999998,0.6612142
2022-12-14 19:45:00,0.4194775,-1.7133333333333334,0.0
2022-12-14 20:00:00,0.39667,-1.7666666666666668,5.3128556
2022-12-14 20:15:00,0.3854325,-1.8000000000000005,0.0
2022-12-14 20:30:00,0.374195,-1.8,0.0
2022-12-14 20:45:00,0.3629575,-1.8733333333333333,2.380370866
2022-12-14 21:00:00,0.35172,-1.9066666666666665,0.0
2022-12-14 21:15:00,0.346025,-1.8333333333333333,0.0
2022-12-14 21:30:00,0.34033,-1.92,0.0
2022-12-14 21:45:00,0.334635,-1.9866666666666668,0.0
2022-12-14 22:00:00,0.32894,-1.9666666666666663,1.2100221466666663
2022-12-14 22:15:00,0.321705,-1.9266666666666663,1.1108398266666668
